0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.010093;0.0048587;0.0076225;0.0033294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0071052;0.0032391;0.0061681;0.0042236;0.0020142;0.0056978;0.01452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.0827e-023;3.9514e-012;1.7382e-006;9.9377e-006;0.00016115;0.000863;0.0039624;0.00048139;0;0;0;0;0;0;0;1.245e-005;2.0564e-006;1.1534e-010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.8614e-034;3.7278e-030;6.5572e-017;1.6256e-013;1.4585e-005;0.00025471;0.0015546;0.0038377;0.0013514;0;0;0;0;0.00010722;0.00026906;0.00044999;0.00017556;5.4108e-005;6.0397e-011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5279e-039;1.4515e-036;2.7363e-031;7.7098e-029;4.9626e-009;0.00025719;0.0010938;0.0096526;0.0019051;4.3622e-005;0;0.00036532;0.00082113;0.00078579;0.0015775;0.0031032;0.00060459;0.00058858;8.9752e-007;3.0485e-009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;6.6398e-036;1.2918e-032;5.5253e-016;7.0031e-005;0.00097432;0.012368;0.0094175;0.014251;0.0062212;0.00543;0.0056494;0.0038914;0.0096663;0.0051998;0.0033008;0.00093956;0.00027792;5.2238e-006;2.1257e-008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2.1521e-036;6.9713e-012;1.1775e-007;3.7206e-005;0.0006005;0.0018035;0.0045949;0.0097079;0.0048547;0.0048795;0.0066626;0.012292;0.0065093;0.0064168;0.0012057;0.00019859;7.1931e-007;1.4458e-009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1.5279e-039;6.9934e-038;2.0086e-033;4.3494e-019;1.9966e-006;0.00030016;0.0011738;0.0010214;0.0010663;0.0013066;0.0069362;0.0092586;0.0018818;0.003469;0.0029599;0.001487;8.2286e-005;8.4792e-006;1.1567e-006;8.6666e-012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1.5279e-039;6.5593e-037;1.378e-032;1.6917e-028;5.5656e-009;2.4642e-006;1.8714e-005;0.00014719;0.0012194;0.0028277;0.0036722;0.018513;0.0092141;0.0098738;0.0097377;0.00097632;0.00010051;1.6842e-005;1.2972e-007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1.5279e-039;3.2319e-035;4.3655e-033;3.0778e-028;3.873e-012;4.2284e-006;2.0772e-005;6.6479e-005;0.0005569;0.001328;0.0098767;0.0058473;0.00089418;0.01371;0.0011775;0.00028366;1.5257e-005;2.071e-006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1.5279e-039;3.0091e-037;2.5019e-035;2.2703e-032;1.0404e-018;1.2471e-006;1.5991e-006;1.0742e-005;0.00069859;0.0018119;0.0045912;0.017702;0.0011435;0.016257;0.0058141;0.00034129;2.0236e-005;6.6567e-007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1.5279e-039;3.4238e-037;3.1109e-035;1.4919e-028;1.4447e-009;9.7931e-008;3.168e-007;8.5097e-005;0.00016196;0.0015981;0.010468;0.0060075;0.020511;0.006227;0.0012585;1.769e-005;6.3334e-007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1.5279e-039;3.4962e-035;4.0513e-021;4.3342e-010;2.3726e-009;3.5696e-007;8.4975e-006;0.00016178;6.3581e-005;0.00019501;0.0058254;0.011314;0.0018204;2.2337e-005;1.3871e-019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1.5279e-039;3.6837e-036;1.0037e-019;2.4448e-011;1.8988e-008;2.5258e-006;2.5132e-005;0.00038086;0.00035861;0.0016817;0.0098135;0.0038177;0.00010921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;2.1007e-032;7.3273e-028;1.1509e-010;4.3096e-007;1.5514e-006;2.1334e-005;6.9172e-005;0.0011045;0.011389;0.0051362;5.5838e-005;0;0;1.9388e-024;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;7.7642e-035;2.6092e-030;2.6112e-012;2.4134e-007;1.1684e-006;1.6428e-005;6.1161e-005;0.0012304;0.0084497;0.0057419;0.00023407;0;1.4014e-023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;2.6189e-035;1.1085e-030;8.208e-020;1.4637e-008;2.9774e-007;4.675e-006;5.3767e-005;0.00014023;0.0025277;0.0068474;0.0015595;4.0122e-005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
